측정일자,도로변구분,측정소명,미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
20220101,일반도로,종로,24,0.021,0.025,0.5,0.003
20220102,일반도로,종로,22,0.025,0.02,0.4,0.003
20220103,일반도로,종로,22,0.012,0.023,0.5,0.003
20220104,일반도로,종로,20,0.021,0.014,0.4,0.003
20220105,일반도로,종로,20,0.026,0.015,0.4,0.002
20220106,일반도로,종로,13,0.026,0.017,0.3,0.002
20220107,일반도로,종로,19,0.019,0.021,0.5,0.003
20220108,일반도로,종로,28,0.028,0.029,0.6,0.003
20220109,일반도로,종로,28,0.033,0.023,0.5,0.003
20220110,일반도로,종로,16,0.042,0.013,0.3,0.002
20220111,일반도로,종로,6,0.038,0.016,0.3,0.002
20220112,일반도로,종로,11,0.016,0.014,0.4,0.002
20220113,일반도로,종로,16,0.024,0.02,0.4,0.003
20220114,일반도로,종로,19,0.017,0.025,0.5,0.003
20220115,일반도로,종로,18,0.018,0.02,0.5,0.003
20220116,일반도로,종로,8,0.017,0.016,0.4,0.002
20220117,일반도로,종로,10,0.011,0.021,0.5,0.002
20220118,일반도로,종로,18,0.013,0.022,0.5,0.002
20220119,일반도로,종로,18,0.024,0.015,0.4,0.002
20220120,일반도로,종로,20,0.034,0.009,0.3,0.002
20220121,일반도로,종로,33,0.048,0.017,0.5,0.002
20220122,일반도로,종로,20,0.012,0.021,0.5,0.003
20220123,일반도로,종로,21,0.02,0.023,0.5,0.003
20220124,일반도로,종로,18,0.03,0.015,0.4,0.002
20220125,일반도로,종로,29,0.029,0.022,0.5,0.003
20220126,일반도로,종로,26,0.038,0.013,0.5,0.002
20220127,일반도로,종로,27,0.043,0.013,0.5,0.002
20220128,일반도로,종로,28,0.019,0.026,0.5,0.003
20220129,일반도로,종로,24,0.035,0.021,0.5,0.003
20220130,일반도로,종로,25,0.032,0.024,0.5,0.003
20220131,일반도로,종로,27,0.04,0.017,0.5,0.003
20220201,일반도로,종로,28,0.024,0.009,0.3,0.003
20220202,일반도로,종로,23,0.027,0.015,0.4,0.003
20220203,일반도로,종로,29,0.015,0.027,0.6,0.003
20220204,일반도로,종로,27,0.041,0.02,0.4,0.003
20220205,일반도로,종로,14,0.02,0.024,0.4,0.003
20220206,일반도로,종로,15,0.023,0.029,0.3,0.003
20220207,일반도로,종로,13,0.018,0.021,0.3,0.003
20220208,일반도로,종로,26,0.024,0.019,0.3,0.003
20220209,일반도로,종로,31,0.019,0.014,0.3,0.003
20220210,일반도로,종로,39,0.025,0.019,0.3,0.003
20220211,일반도로,종로,21,0.015,0.02,0.2,0.002
20220212,일반도로,종로,19,0.021,0.015,0.2,0.002
20220213,일반도로,종로,26,0.022,0.017,0.3,0.002
20220214,일반도로,종로,17,0.011,0.017,0.3,0.003
20220215,일반도로,종로,22,0.01,0.018,0.4,0.003
20220216,일반도로,종로,14,0.008,0.014,0.4,0.003
20220217,일반도로,종로,25,0.019,0.02,0.4,0.003
20220218,일반도로,종로,25,0.027,0.024,0.4,0.003
20220219,일반도로,종로,27,0.029,0.027,0.5,0.003
20220220,일반도로,종로,33,0.029,0.031,0.6,0.004
20220221,일반도로,종로,32,0.045,0.024,0.5,0.003
20220222,일반도로,종로,18,0.025,0.015,0.4,0.003
20220223,일반도로,종로,17,0.032,0.015,0.5,0.003
20220224,일반도로,종로,37,0.026,0.026,0.6,0.003
20220225,일반도로,종로,24,0.036,0.015,0.4,0.003
20220226,일반도로,종로,14,0.033,0.014,0.4,0.003
20220227,일반도로,종로,35,0.042,0.021,0.5,0.004
20220228,일반도로,종로,33,0.044,0.017,0.5,0.003
20220301,일반도로,종로,28,0.032,0.025,0.5,0.003
20220302,일반도로,종로,26,0.032,0.016,0.5,0.003
20220303,일반도로,종로,29,0.035,0.023,0.5,0.003
20220304,일반도로,종로,24,0.029,0.02,0.5,0.003
20220305,일반도로,종로,13,0.028,0.015,0.4,0.003
20220306,일반도로,종로,18,0.012,0.026,0.5,0.003
